,text,user
211,RT @JmkWalkow: @realDonaldTrump Thank you Great Republicans. 🇺🇸 United States https://t.co/dd3GZSd9r7,JmkWalkow
212,"@RealDonaldTrump #joke : 'Trump loves capitalism but hates free trade, which is like being a Destiny’s Child fan wh… https://t.co/ZcsaToGFff",SwerianBot
213,@realDonaldTrump @POTUS Are you sitting down right now? #youtryandfail,youtryandfail
214,@realDonaldTrump What are you up to? Could you not do that? #MAGA,Cutitout11
215,RT @phillip_vaxxxed: @realDonaldTrump It’s that important- https://t.co/90Cte2Lm2s,mikeopseu
216,"RT @Slimsim999: @realDonaldTrump Qualities the KGB looked for in potential assets: « corruption, vanity, narcissism, marital infidelity and…",NastyClaudia
217,@RealDonaldTrump cares little about sending people to fight and die on his behalf #LibelTrump,LibelTrump
218,@realdonaldtrump クソキモ妄想小説の裏どりが取れてしまって困惑してる,KO_RIUMAI
219,"@RealDonaldTrump is flat broke, according to my sources https://t.co/LGqheRArH0",LibelTrump
220,@realDonaldTrump @POTUS Is America great yet?,IsItGreatYetBot
221,@realDonaldTrump @POTUS are you a furry,trump_furry
222,@RealDonaldTrump believes every single thing in the Washington Post #Trump,LibelTrump
223,RT @Willysgurl1: @realDonaldTrump #TrumpHatesOurVeterans NEVER F*CKING FORGET THIS! THEY ARE WHY YOU CAN VOTE! https://t.co/uB4ssfQ0z5,Stearley39
224,@realDonaldTrump @POTUS what's your fursona,trump_furry
225,RT @TexasGal_98: @realDonaldTrump @starsandstripes A Verbal or Physical Threat to our American Military is a Threat to every American! You…,pimp_guido
226,RT @lopao345: @realDonaldTrump cc,CoucouLeBot
227,RT @falso22s: @realDonaldTrump cc,CoucouLeBot
228,@realDonaldTrump cc,lopao345
229,@realDonaldTrump cc,falso22s
230,"@RealDonaldTrump #joke : 'Trump loves capitalism but hates free trade, which is like being a Destiny’s Child fan wh… https://t.co/ta4WkiVlX0",SwerianBot
231,@realdonaldtrump A25143EC :参戦ID 参加者募集！ Lv120 ホルス https://t.co/dHg2p0f8fs,hanamaru_8_7_0
232,@realdonaldtrump E9F265C0 :参戦ID 参加者募集！ Lv120 ホルス https://t.co/dHg2p0wbhs,hanamaru_8_7_0
233,@realdonaldtrump E9F265C0 :参戦ID 参加者募集！ Lv120 ホルス https://t.co/dHg2p0f8fs,hanamaru_8_7_0
